ENSG00000243485	MIR1302-10	Gene Expression
ENSG00000237613	FAM138A	Gene Expression
ENSG00000186092	OR4F5	Gene Expression
ENSG00000238009	RP11-34P13.7	Gene Expression
ENSG00000239945	RP11-34P13.8	Gene Expression
ENSG00000237683	AL627309.1	Gene Expression
ENSG00000239906	RP11-34P13.14	Gene Expression
ENSG00000241599	RP11-34P13.9	Gene Expression
ENSG00000228463	AP006222.2	Gene Expression
ENSG00000237094	RP4-669L17.10	Gene Expression
ENSG00000235249	OR4F29	Gene Expression
ENSG00000236601	RP4-669L17.2	Gene Expression
ENSG00000236743	RP5-857K21.15	Gene Expression
ENSG00000231709	RP5-857K21.1	Gene Expression
ENSG00000235146	RP5-857K21.2	Gene Expression
ENSG00000239664	RP5-857K21.3	Gene Expression
ENSG00000230021	RP5-857K21.4	Gene Expression
ENSG00000223659	RP5-857K21.5	Gene Expression
ENSG00000185097	OR4F16	Gene Expression
ENSG00000235373	RP11-206L10.3	Gene Expression
ENSG00000240618	RP11-206L10.5	Gene Expression
ENSG00000229905	RP11-206L10.4	Gene Expression
ENSG00000228327	RP11-206L10.2	Gene Expression
ENSG00000237491	RP11-206L10.9	Gene Expression
ENSG00000269831	AL669831.1	Gene Expression
ENSG00000177757	FAM87B	Gene Expression
ENSG00000225880	LINC00115	Gene Expression
ENSG00000230368	FAM41C	Gene Expression
ENSG00000269308	AL645608.2	Gene Expression
ENSG00000272438	RP11-54O7.16	Gene Expression
ENSG00000230699	RP11-54O7.1	Gene Expression
ENSG00000241180	RP11-54O7.2	Gene Expression
ENSG00000223764	RP11-54O7.3	Gene Expression
ENSG00000187634	SAMD11	Gene Expression
ENSG00000268179	AL645608.1	Gene Expression
ENSG00000188976	NOC2L	Gene Expression
ENSG00000187961	KLHL17	Gene Expression
ENSG00000187583	PLEKHN1	Gene Expression
ENSG00000187642	C1orf170	Gene Expression
ENSG00000272512	RP11-54O7.17	Gene Expression
ENSG00000188290	HES4	Gene Expression
ENSG00000224969	RP11-54O7.11	Gene Expression
ENSG00000187608	ISG15	Gene Expression
ENSG00000188157	AGRN	Gene Expression
ENSG00000273443	RP11-54O7.18	Gene Expression
ENSG00000237330	RNF223	Gene Expression
ENSG00000131591	C1orf159	Gene Expression
ENSG00000223823	RP11-465B22.5	Gene Expression
ENSG00000272141	RP11-465B22.8	Gene Expression
ENSG00000205231	TTLL10-AS1	Gene Expression
ENSG00000162571	TTLL10	Gene Expression
ENSG00000186891	TNFRSF18	Gene Expression
ENSG00000186827	TNFRSF4	Gene Expression
ENSG00000078808	SDF4	Gene Expression
ENSG00000176022	B3GALT6	Gene Expression
ENSG00000184163	FAM132A	Gene Expression
ENSG00000260179	RP5-902P8.12	Gene Expression
ENSG00000160087	UBE2J2	Gene Expression
ENSG00000230415	RP5-902P8.10	Gene Expression
ENSG00000162572	SCNN1D	Gene Expression
ENSG00000131584	ACAP3	Gene Expression
ENSG00000169972	PUSL1	Gene Expression
ENSG00000127054	CPSF3L	Gene Expression
ENSG00000224051	GLTPD1	Gene Expression
ENSG00000169962	TAS1R3	Gene Expression
ENSG00000107404	DVL1	Gene Expression
ENSG00000162576	MXRA8	Gene Expression
ENSG00000175756	AURKAIP1	Gene Expression
ENSG00000221978	CCNL2	Gene Expression
ENSG00000224870	RP4-758J18.2	Gene Expression
ENSG00000242485	MRPL20	Gene Expression
ENSG00000272455	RP4-758J18.13	Gene Expression
ENSG00000235098	ANKRD65	Gene Expression
ENSG00000225905	RP4-758J18.7	Gene Expression
ENSG00000205116	TMEM88B	Gene Expression
ENSG00000225285	RP4-758J18.10	Gene Expression
ENSG00000179403	VWA1	Gene Expression
ENSG00000215915	ATAD3C	Gene Expression
ENSG00000160072	ATAD3B	Gene Expression
ENSG00000197785	ATAD3A	Gene Expression
ENSG00000205090	TMEM240	Gene Expression
ENSG00000160075	SSU72	Gene Expression
ENSG00000215014	AL645728.1	Gene Expression
ENSG00000228594	C1orf233	Gene Expression
ENSG00000272106	RP11-345P4.9	Gene Expression
ENSG00000197530	MIB2	Gene Expression
ENSG00000189409	MMP23B	Gene Expression
ENSG00000248333	CDK11B	Gene Expression
ENSG00000272004	RP11-345P4.10	Gene Expression
ENSG00000189339	SLC35E2B	Gene Expression
ENSG00000269737	RP11-345P4.7	Gene Expression
ENSG00000008128	CDK11A	Gene Expression
ENSG00000215790	SLC35E2	Gene Expression
ENSG00000008130	NADK	Gene Expression
ENSG00000078369	GNB1	Gene Expression
ENSG00000231050	RP1-140A9.1	Gene Expression
ENSG00000169885	CALML6	Gene Expression
ENSG00000178821	TMEM52	Gene Expression
ENSG00000142609	C1orf222	Gene Expression
ENSG00000233542	RP11-547D24.1	Gene Expression
ENSG00000187730	GABRD	Gene Expression
ENSG00000226969	RP11-547D24.3	Gene Expression
ENSG00000067606	PRKCZ	Gene Expression
ENSG00000271806	RP5-892K4.1	Gene Expression
ENSG00000182873	RP11-181G12.2	Gene Expression
ENSG00000162585	C1orf86	Gene Expression
ENSG00000269554	AL590822.2	Gene Expression
ENSG00000203301	AL590822.1	Gene Expression
ENSG00000243558	RP11-181G12.5	Gene Expression
ENSG00000234396	RP11-181G12.4	Gene Expression
ENSG00000157933	SKI	Gene Expression
ENSG00000116151	MORN1	Gene Expression
ENSG00000269753	AL589739.1	Gene Expression
ENSG00000157916	RER1	Gene Expression
ENSG00000157911	PEX10	Gene Expression
ENSG00000149527	PLCH2	Gene Expression
ENSG00000224387	RP3-395M20.2	Gene Expression
ENSG00000229393	RP3-395M20.3	Gene Expression
ENSG00000157881	PANK4	Gene Expression
ENSG00000197921	HES5	Gene Expression
ENSG00000272449	RP3-395M20.12	Gene Expression
ENSG00000157873	TNFRSF14	Gene Expression
ENSG00000225931	RP3-395M20.7	Gene Expression
ENSG00000228037	RP3-395M20.9	Gene Expression
ENSG00000157870	FAM213B	Gene Expression
ENSG00000142606	MMEL1	Gene Expression
ENSG00000237058	RP13-436F16.1	Gene Expression
ENSG00000215912	TTC34	Gene Expression
ENSG00000233234	RP11-740P5.2	Gene Expression
ENSG00000231630	RP11-740P5.3	Gene Expression
ENSG00000169717	ACTRT2	Gene Expression
ENSG00000177133	LINC00982	Gene Expression
ENSG00000142611	PRDM16	Gene Expression
ENSG00000226286	RP1-163G9.2	Gene Expression
ENSG00000272235	RP11-22L13.1	Gene Expression
ENSG00000130762	ARHGEF16	Gene Expression
ENSG00000272088	RP11-168F9.2	Gene Expression
ENSG00000162591	MEGF6	Gene Expression
ENSG00000238260	RP11-46F15.2	Gene Expression
ENSG00000158109	TPRG1L	Gene Expression
ENSG00000116213	WRAP73	Gene Expression
ENSG00000078900	TP73	Gene Expression
ENSG00000227589	RP5-1092A11.5	Gene Expression
ENSG00000235131	RP5-1092A11.2	Gene Expression
ENSG00000227372	TP73-AS1	Gene Expression
ENSG00000162592	CCDC27	Gene Expression
ENSG00000235169	SMIM1	Gene Expression
ENSG00000130764	LRRC47	Gene Expression
ENSG00000272153	RP1-286D6.5	Gene Expression
ENSG00000116198	CEP104	Gene Expression
ENSG00000169598	DFFB	Gene Expression
ENSG00000198912	C1orf174	Gene Expression
ENSG00000236423	LINC01134	Gene Expression
ENSG00000233304	RP13-614K11.1	Gene Expression
ENSG00000226374	RP13-614K11.2	Gene Expression
ENSG00000235054	RP5-1166F10.1	Gene Expression
ENSG00000227169	RP1-37J18.1	Gene Expression
ENSG00000232596	RP1-37J18.2	Gene Expression
ENSG00000196581	AJAP1	Gene Expression
ENSG00000231510	RP11-542C10.1	Gene Expression
ENSG00000260972	RP1-58B11.1	Gene Expression
ENSG00000236948	RP11-154H17.1	Gene Expression
ENSG00000131697	NPHP4	Gene Expression
ENSG00000069424	KCNAB2	Gene Expression
ENSG00000268332	AL035406.1	Gene Expression
ENSG00000116254	CHD5	Gene Expression
ENSG00000116251	RPL22	Gene Expression
ENSG00000226944	RP1-120G22.11	Gene Expression
ENSG00000158286	RNF207	Gene Expression
ENSG00000116237	ICMT	Gene Expression
ENSG00000225077	LINC00337	Gene Expression
ENSG00000173673	HES3	Gene Expression
ENSG00000158292	GPR153	Gene Expression
ENSG00000097021	ACOT7	Gene Expression
ENSG00000271746	RP1-202O8.3	Gene Expression
ENSG00000069812	HES2	Gene Expression
ENSG00000187017	ESPN	Gene Expression
ENSG00000231868	RP1-202O8.2	Gene Expression
ENSG00000215788	TNFRSF25	Gene Expression
ENSG00000171680	PLEKHG5	Gene Expression
ENSG00000162408	NOL9	Gene Expression
ENSG00000173662	TAS1R1	Gene Expression
ENSG00000204859	ZBTB48	Gene Expression
ENSG00000162413	KLHL21	Gene Expression
ENSG00000116273	PHF13	Gene Expression
ENSG00000041988	THAP3	Gene Expression
ENSG00000007923	DNAJC11	Gene Expression
ENSG00000228750	RP11-242F24.1	Gene Expression
ENSG00000237436	RP11-312B8.1	Gene Expression
ENSG00000171735	CAMTA1	Gene Expression
ENSG00000237365	RP11-334N17.1	Gene Expression
ENSG00000237728	RP3-453P22.2	Gene Expression
ENSG00000225126	RP4-549F15.1	Gene Expression
ENSG00000270171	RP11-338N10.1	Gene Expression
ENSG00000270035	RP11-338N10.2	Gene Expression
ENSG00000269978	RP11-338N10.3	Gene Expression
ENSG00000049245	VAMP3	Gene Expression
ENSG00000049246	PER3	Gene Expression
ENSG00000236266	RP3-467L1.4	Gene Expression
ENSG00000049247	UTS2	Gene Expression
ENSG00000049249	TNFRSF9	Gene Expression
ENSG00000116288	PARK7	Gene Expression
ENSG00000116285	ERRFI1	Gene Expression
ENSG00000238290	RP11-431K24.1	Gene Expression
ENSG00000227634	RP11-431K24.3	Gene Expression
ENSG00000233645	RP11-431K24.4	Gene Expression
ENSG00000162426	SLC45A1	Gene Expression
ENSG00000142599	RERE	Gene Expression
ENSG00000232912	RP5-1115A15.1	Gene Expression
ENSG00000228423	RP4-633I8.4	Gene Expression
ENSG00000074800	ENO1	Gene Expression
ENSG00000230679	ENO1-AS1	Gene Expression
ENSG00000131686	CA6	Gene Expression
ENSG00000197241	SLC2A7	Gene Expression
ENSG00000142583	SLC2A5	Gene Expression
ENSG00000180758	GPR157	Gene Expression
ENSG00000228526	RP3-510D11.1	Gene Expression
ENSG00000234546	RP3-510D11.2	Gene Expression
ENSG00000049239	H6PD	Gene Expression
ENSG00000171621	SPSB1	Gene Expression
ENSG00000235263	RP13-392I16.1	Gene Expression
ENSG00000171612	SLC25A33	Gene Expression
ENSG00000188807	TMEM201	Gene Expression
ENSG00000171608	PIK3CD	Gene Expression
ENSG00000179840	C1orf200	Gene Expression
ENSG00000231789	RP11-558F24.4	Gene Expression
ENSG00000171603	CLSTN1	Gene Expression
ENSG00000178585	CTNNBIP1	Gene Expression
ENSG00000223989	RP11-84A14.5	Gene Expression
ENSG00000162441	LZIC	Gene Expression
ENSG00000173614	NMNAT1	Gene Expression
ENSG00000162444	RBP7	Gene Expression
ENSG00000130939	UBE4B	Gene Expression
ENSG00000054523	KIF1B	Gene Expression
ENSG00000142657	PGD	Gene Expression
ENSG00000271989	RP4-736L20.3	Gene Expression
ENSG00000175279	APITD1	Gene Expression
ENSG00000251503	APITD1-CORT	Gene Expression
ENSG00000241563	CORT	Gene Expression
ENSG00000160049	DFFA	Gene Expression
ENSG00000203469	RP5-1113E3.3	Gene Expression
ENSG00000142655	PEX14	Gene Expression
ENSG00000130940	CASZ1	Gene Expression
ENSG00000272078	RP4-734G22.3	Gene Expression
ENSG00000175262	C1orf127	Gene Expression
ENSG00000120948	TARDBP	Gene Expression
ENSG00000009724	MASP2	Gene Expression
ENSG00000271895	RP4-635E18.8	Gene Expression
ENSG00000116649	SRM	Gene Expression
ENSG00000171824	EXOSC10	Gene Expression
ENSG00000226849	RP4-635E18.7	Gene Expression
ENSG00000230337	RP4-635E18.6	Gene Expression
ENSG00000198793	MTOR	Gene Expression
ENSG00000225602	MTOR-AS1	Gene Expression
ENSG00000171819	ANGPTL7	Gene Expression
ENSG00000120942	UBIAD1	Gene Expression
ENSG00000204624	PTCHD2	Gene Expression
ENSG00000235643	RP1-69M21.2	Gene Expression
ENSG00000116661	FBXO2	Gene Expression
ENSG00000132879	FBXO44	Gene Expression
ENSG00000116663	FBXO6	Gene Expression
ENSG00000116670	MAD2L2	Gene Expression
ENSG00000162490	DRAXIN	Gene Expression
ENSG00000177674	AGTRAP	Gene Expression
ENSG00000215910	C1orf167	Gene Expression
